sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,title,ecoregion,filename,f3,f4,f5,f6,f7,pic_url,age,burn_year,topo_po
BDI1,5,193,241,Birch,2,SUBXERIC,NA,5.79,8.6,6258.33,28.06,22636.36,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Elliott Highway MP 141.2. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.063454,-150.403119,BDI1 (BD-6),Ray Mountains,BDI1_SitePano.jpg,Panoramic site photo of BDI1 (BD-6).,9/11/2014,Shalane Frost,BDI1,BD-6,http://ltergis.iab.uaf.edu/rsn/pano/BDI1_SitePano.jpg,Intermediate,1969,Shoulder
BDI2,4,209,254,Birch,2,SUBXERIC-MESIC,NA,5.71,7.8,8791.67,16.71,8363.64,In 1969 this site burned in the Big Denver fire. It is now a birch stand with a thick black spruce understory.,Elliott Highway MP 140. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.070412,-150.368877,BDI2 (BD-10),Ray Mountains,BDI2_SitePano.jpg,Panoramic site photo of BDI2 (BD-10).,9/14/2014,Shalane Frost,BDI2,BD-10,http://ltergis.iab.uaf.edu/rsn/pano/BDI2_SitePano.jpg,Intermediate,1969,Shoulder
BDI3,15,199,290,Aspen,3,SUBXERIC,NA,5.08,4.6,6625,11.93,6772.73,In 1969 this site burned in the Big Denver fire. It is now a mixed stand comprised of aspen and black spruce.,Elliott Highway MP 139.4. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.073548,-150.349093,BDI3 (BD-9),Ray Mountains,BDI3_SitePano.jpg,Panoramic site photo of BDI3 (BD-9).,9/15/2014,Shalane Frost,BDI3,BD-9,http://ltergis.iab.uaf.edu/rsn/pano/BDI3_SitePano.jpg,Intermediate,1969,Side Slope
BDI4,8,60,203,Aspen,3,SUBXERIC,NA,4.85,3.4,8691.67,20.6,11772.73,In 1969 this site burned in the Big Denver fire. It is now an aspen stand.,Elliott Highway MP 138.3. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.078379,-150.325606,BDI4 (BD-11),Ray Mountains,BDI4_SitePano.jpg,Panoramic site photo of BDI4 (BD-11).,9/13/2014,Shalane Frost,BDI4,BD-11,http://ltergis.iab.uaf.edu/rsn/pano/BDI4_SitePano.jpg,Intermediate,1969,Side Slope
BDI5,0,358,145,Aspen,9,MESIC,NA,5.84,5.9,2866.67,5.12,18954.55,"In 2015 this site burned in the Baker fire. Prior to the fire, it was a mixed stand dominated by aspen with some black spruce.",Elliott Highway MP 136.5. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"". After burning in 2015, it was reclassified as ""Young"". Note that some data sets were collected immediately preceding the fire at this site.","Elliott Hwy, near Manley Hotsprings",65.095197,-150.282723,BDI5 (BD-7),Ray Mountains,BDI5_SitePano.jpg,Panoramic site photo of BDI5 (BD-7).,8/10/2015,Shalane Frost,BDI5,BD-7,http://ltergis.iab.uaf.edu/rsn/pano/BDI5_SitePano.jpg,Intermediate,1969,Lowland
BDI6,0,0,146,Black Spruce,9,SUBHYGRIC,NA,6.48,34.7,66.67,0.06,35954.55,In 2015 this site burned in the Baker fire. Prior to the fire it was an open black spruce stand.,Elliott Highway MP 136. Site on the north side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"". After burning in 2015, it was reclassified as ""Young"". Note that some data sets were collected immediately preceding the fire at this site.","Elliott Hwy, near Manley Hotsprings",65.10084,-150.269876,BDI6 (BD-5),Ray Mountains,BDI6_SitePano_unburned.jpg,Panoramic site photo of BDI6 (BD-5).,9/16/2014,Shalane Frost,BDI6,BD-5,http://ltergis.iab.uaf.edu/rsn/pano/BDI6_SitePano_unburned.jpg,Intermediate,1969,Lowland
BDI7,6,195,358,Birch,3,SUBXERIC-MESIC,NA,5.53,7.9,7975,16.92,21681.82,In 1969 this site burned in the Big Denver fire. It is now a birch stand.,Elliott Highway MP 126.6. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.161836,-150.063616,BDI7 (BD-2),Ray Mountains,BDI7_SitePano.jpg,Panoramic site photo of BDI7 (BD-2).,9/16/2014,Shalane Frost,BDI7,BD-2,http://ltergis.iab.uaf.edu/rsn/pano/BDI7_SitePano.jpg,Intermediate,1969,Side Slope
BDI8,8,203,389,Birch,3,SUBXERIC-MESIC,NA,5.61,9.6,7783.33,10.97,24681.82,In 1969 this site burned in the Big Denver fire. It is now a mixed stand with birch and black spruce.,Elliott Highway MP 126.1. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".","Elliott Hwy, near Manley Hotsprings",65.163552,-150.049912,BDI8 (BD-1),Ray Mountains,BDI8_SitePano.jpg,Panoramic site photo of BDI8 (BD-1).,9/16/2014,Shalane Frost,BDI8,BD-1,http://ltergis.iab.uaf.edu/rsn/pano/BDI8_SitePano.jpg,Intermediate,1969,Side Slope
GRI1,0,0,552,Black Spruce,7,SUBHYGRIC,NA,7.09,50,1866.67,2.71,9954.55,In 1947 this site burned in the Gerstle River fire. It is now an open black spruce stand with some birch. Permafrost is currently present at this site.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.772116,-145.079202,GRI1 (GR-9),Tanana-Kuskokwim Lowlands,GRI1_Site.jpg,Site photo of GRI1 (GR-9).,10/2/2013,Shalane Frost,GRI1,GR-9,http://ltergis.iab.uaf.edu/rsn/pano/GRI1_Site.jpg,Intermediate,1947,Depression
GRI2,1,14,575,Aspen,10,MESIC,NA,8.15,10.22,1766.67,23.56,62590.91,In 1947 this site burned in the Gerstle River fire. It is now dominated by aspen with an understory of black spruce.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.787588,-145.055334,GRI2 (GR-2),Tanana-Kuskokwim Lowlands,GRI2_Site.jpg,Site photo of GRI2 (GR-2).,10/2/2013,Shalane Frost,GRI2,GR-2,http://ltergis.iab.uaf.edu/rsn/pano/GRI2_Site.jpg,Intermediate,1947,Flat
